1.03e-02, 3.54e-02, 3.13e-09, 3.27e-09, 3.38e-09, 3.52e-09, 3.81e-09, 4.42e-09, 5.04e-09, 4.82e-09, 3.84e-09, 2.99e-09, 2.49e-09, 2.18e-09, 1.94e-09, 1.71e-09, 1.49e-09, 1.29e-09, 1.11e-09, 9.90e-10, 9.69e-10
9.45e-03, 3.28e-02, 3.09e-09, 3.23e-09, 3.34e-09, 3.48e-09, 3.77e-09, 4.37e-09, 4.99e-09, 4.77e-09, 3.79e-09, 2.95e-09, 2.45e-09, 2.15e-09, 1.90e-09, 1.68e-09, 1.46e-09, 1.26e-09, 1.09e-09, 9.68e-10, 9.47e-10
8.68e-03, 3.04e-02, 3.05e-09, 3.19e-09, 3.30e-09, 3.43e-09, 3.73e-09, 4.33e-09, 4.94e-09, 4.72e-09, 3.75e-09, 2.90e-09, 2.41e-09, 2.11e-09, 1.87e-09, 1.64e-09, 1.43e-09, 1.24e-09, 1.06e-09, 9.45e-10, 9.25e-10
7.97e-03, 2.81e-02, 3.02e-09, 3.15e-09, 3.26e-09, 3.39e-09, 3.68e-09, 4.28e-09, 4.90e-09, 4.68e-09, 3.70e-09, 2.86e-09, 2.37e-09, 2.07e-09, 1.83e-09, 1.61e-09, 1.40e-09, 1.21e-09, 1.04e-09, 9.23e-10, 9.03e-10
7.33e-03, 2.60e-02, 2.98e-09, 3.12e-09, 3.23e-09, 3.35e-09, 3.64e-09, 4.24e-09, 4.85e-09, 4.63e-09, 3.66e-09, 2.82e-09, 2.33e-09, 2.03e-09, 1.80e-09, 1.58e-09, 1.37e-09, 1.18e-09, 1.02e-09, 9.01e-10, 8.82e-10
6.73e-03, 2.41e-02, 2.95e-09, 3.08e-09, 3.19e-09, 3.32e-09, 3.60e-09, 4.20e-09, 4.81e-09, 4.59e-09, 3.61e-09, 2.78e-09, 2.29e-09, 2.00e-09, 1.76e-09, 1.55e-09, 1.34e-09, 1.16e-09, 9.93e-10, 8.79e-10, 8.60e-10
6.19e-03, 2.23e-02, 2.92e-09, 3.05e-09, 3.16e-09, 3.28e-09, 3.57e-09, 4.16e-09, 4.77e-09, 4.55e-09, 3.57e-09, 2.74e-09, 2.26e-09, 1.96e-09, 1.73e-09, 1.52e-09, 1.31e-09, 1.13e-09, 9.69e-10, 8.58e-10, 8.39e-10
5.69e-03, 2.07e-02, 2.89e-09, 3.03e-09, 3.13e-09, 3.25e-09, 3.54e-09, 4.13e-09, 4.74e-09, 4.51e-09, 3.53e-09, 2.70e-09, 2.22e-09, 1.93e-09, 1.70e-09, 1.48e-09, 1.29e-09, 1.10e-09, 9.46e-10, 8.37e-10, 8.18e-10
5.23e-03, 1.92e-02, 2.87e-09, 3.00e-09, 3.10e-09, 3.23e-09, 3.51e-09, 4.10e-09, 4.71e-09, 4.48e-09, 3.50e-09, 2.66e-09, 2.19e-09, 1.89e-09, 1.66e-09, 1.46e-09, 1.26e-09, 1.08e-09, 9.24e-10, 8.16e-10, 7.98e-10
4.81e-03, 1.78e-02, 2.85e-09, 2.98e-09, 3.08e-09, 3.21e-09, 3.49e-09, 4.08e-09, 4.69e-09, 4.46e-09, 3.47e-09, 2.63e-09, 2.16e-09, 1.86e-09, 1.63e-09, 1.43e-09, 1.23e-09, 1.06e-09, 9.03e-10, 7.97e-10, 7.78e-10
4.42e-03, 1.65e-02, 2.84e-09, 2.97e-09, 3.07e-09, 3.19e-09, 3.47e-09, 4.07e-09, 4.68e-09, 4.44e-09, 3.45e-09, 2.60e-09, 2.13e-09, 1.83e-09, 1.61e-09, 1.40e-09, 1.21e-09, 1.03e-09, 8.82e-10, 7.78e-10, 7.59e-10
4.06e-03, 1.53e-02, 2.84e-09, 2.96e-09, 3.06e-09, 3.18e-09, 3.46e-09, 4.06e-09, 4.68e-09, 4.44e-09, 3.43e-09, 2.58e-09, 2.10e-09, 1.81e-09, 1.58e-09, 1.37e-09, 1.18e-09, 1.01e-09, 8.62e-10, 7.59e-10, 7.41e-10
3.73e-03, 1.42e-02, 2.84e-09, 2.96e-09, 3.06e-09, 3.18e-09, 3.46e-09, 4.07e-09, 4.70e-09, 4.44e-09, 3.42e-09, 2.56e-09, 2.08e-09, 1.78e-09, 1.56e-09, 1.35e-09, 1.16e-09, 9.90e-10, 8.44e-10, 7.42e-10, 7.24e-10
3.43e-03, 1.32e-02, 2.84e-09, 2.97e-09, 3.07e-09, 3.19e-09, 3.47e-09, 4.09e-09, 4.72e-09, 4.46e-09, 3.41e-09, 2.54e-09, 2.06e-09, 1.76e-09, 1.53e-09, 1.33e-09, 1.14e-09, 9.71e-10, 8.26e-10, 7.26e-10, 7.08e-10
3.15e-03, 1.23e-02, 2.86e-09, 2.99e-09, 3.08e-09, 3.20e-09, 3.49e-09, 4.11e-09, 4.76e-09, 4.49e-09, 3.42e-09, 2.54e-09, 2.04e-09, 1.74e-09, 1.51e-09, 1.31e-09, 1.12e-09, 9.53e-10, 8.09e-10, 7.10e-10, 6.92e-10
2.90e-03, 1.14e-02, 2.89e-09, 3.02e-09, 3.11e-09, 3.23e-09, 3.52e-09, 4.16e-09, 4.82e-09, 4.53e-09, 3.43e-09, 2.53e-09, 2.03e-09, 1.73e-09, 1.50e-09, 1.29e-09, 1.11e-09, 9.37e-10, 7.94e-10, 6.96e-10, 6.78e-10
2.66e-03, 1.06e-02, 2.93e-09, 3.05e-09, 3.15e-09, 3.27e-09, 3.56e-09, 4.22e-09, 4.89e-09, 4.59e-09, 3.46e-09, 2.54e-09, 2.02e-09, 1.72e-09, 1.48e-09, 1.28e-09, 1.09e-09, 9.22e-10, 7.80e-10, 6.83e-10, 6.65e-10
2.45e-03, 9.92e-03, 2.98e-09, 3.11e-09, 3.20e-09, 3.32e-09, 3.62e-09, 4.29e-09, 4.99e-09, 4.68e-09, 3.50e-09, 2.55e-09, 2.02e-09, 1.71e-09, 1.47e-09, 1.27e-09, 1.08e-09, 9.09e-10, 7.68e-10, 6.71e-10, 6.53e-10
2.25e-03, 9.25e-03, 3.04e-09, 3.17e-09, 3.27e-09, 3.39e-09, 3.70e-09, 4.39e-09, 5.12e-09, 4.78e-09, 3.55e-09, 2.57e-09, 2.03e-09, 1.71e-09, 1.47e-09, 1.26e-09, 1.07e-09, 8.98e-10, 7.57e-10, 6.60e-10, 6.42e-10
2.07e-03, 8.64e-03, 3.13e-09, 3.26e-09, 3.35e-09, 3.47e-09, 3.79e-09, 4.52e-09, 5.27e-09, 4.91e-09, 3.62e-09, 2.60e-09, 2.04e-09, 1.71e-09, 1.47e-09, 1.25e-09, 1.06e-09, 8.88e-10, 7.47e-10, 6.50e-10, 6.32e-10
1.90e-03, 8.07e-03, 3.23e-09, 3.36e-09, 3.46e-09, 3.58e-09, 3.91e-09, 4.67e-09, 5.46e-09, 5.07e-09, 3.71e-09, 2.64e-09, 2.06e-09, 1.72e-09, 1.47e-09, 1.25e-09, 1.05e-09, 8.81e-10, 7.39e-10, 6.42e-10, 6.23e-10
